code,description,priceTRY,changePercentageDaily,changePercentage1Month,changePercentage3Months,changePercentage6Months,changePercentage12Months
TTA,İŞ PORTFÖY ALTIN FONU,0.530638,0.3060,15.044467,23.091305,36.302526,66.2556
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,0.7127,0.2013,13.703080,21.748103,35.392623,72.283757
GGK,INVEO PORTFÖY ALTIN FON,11.236757,0.4622,14.728066,22.572222,34.798644,74.075349
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,5.100760,-0.7883,12.275422,23.060814,43.279292,71.240283
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,2.982598,0.4792,7.987519,15.184329,24.047961,42.660462
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.097379,-0.3520,-3.249876,3.407667,1.479799,12.823394
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),26.821896,-0.5595,2.098416,5.028517,15.8048,20.478305
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.107253,-0.8734,1.027675,2.878602,13.611856,21.674872
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.342082,-1.4489,-0.608605,-0.672088,12.810904,22.491072
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),13.635002,-0.6319,3.357578,13.396447,14.667796,19.849237
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.104834,-3.0410,-2.932380,2.249142,7.016057,13.399938
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,5.056882,1.1597,16.359753,26.133834,69.781652,86.322771
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,0.729698,1.1549,11.421966,18.466506,47.058420,56.686407
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,1199.008180,2.2795,17.872650,24.230089,60.763866,55.361128
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,8.952213,1.0553,10.774973,19.761390,45.931808,59.983305
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,0.317593,0.0611,2.276145,8.968482,16.349775,30.304721
TI1,İŞ PORTFÖY PARA PİYASASI (TL) FONU,1193.9690,0.1090,3.290868,11.141985,24.811487,55.606463
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,2.801379,0.1128,3.535283,11.747720,25.781888,58.177685
TZL,ZİRAAT PORTFÖY PARA PİYASASI (TL) FONU,0.098779,0.1074,3.284259,11.083747,24.804478,55.945502
